Millis,Acce_X,Acce_Y,Acce_Z,Gyro_X,Gyro_Y,Gyro_Z,Temp
90317,-0.02,-0.38,1.12,32.82,-0.49,3.80,31.54
90327,-0.03,-0.30,1.09,33.31,-5.47,2.24,31.54
90337,0.02,-0.22,1.01,29.11,-7.71,2.35,31.54
90347,0.07,-0.16,0.96,22.47,-1.73,2.70,31.54
90357,0.10,-0.16,0.94,16.69,4.85,3.56,31.45
90367,0.04,-0.17,1.00,10.11,7.28,4.20,31.45
90377,-0.01,-0.16,1.04,9.18,3.85,6.24,31.59
90387,-0.02,-0.13,1.05,9.69,-1.68,10.46,31.59
90397,-0.01,-0.08,1.02,7.98,-5.76,14.12,31.59
90407,0.03,-0.04,0.99,2.82,-9.79,15.56,31.49
90417,0.04,0.01,0.96,-2.92,-12.90,16.40,31.49
90427,0.05,0.03,0.95,-7.54,-13.02,18.87,31.49
90437,0.07,0.03,0.97,-10.31,-14.35,22.20,31.49
90447,0.08,0.04,0.98,-13.89,-14.18,24.31,31.59
90457,0.11,0.07,1.00,-17.51,-16.76,25.31,31.45
90467,0.14,0.04,1.00,-20.95,-22.72,25.69,31.54
90477,0.19,0.04,1.00,-25.95,-26.17,25.19,31.54
90487,0.23,0.04,1.00,-28.98,-27.11,24.20,31.45
90497,0.29,0.04,0.99,-30.50,-22.15,25.39,31.54
90507,0.30,0.02,1.01,-31.94,-15.34,27.02,31.49
90517,0.31,-0.00,1.07,-33.04,-9.51,25.68,31.45
90527,0.28,-0.02,1.13,-32.14,-6.82,20.31,31.54
90537,0.25,-0.05,1.17,-29.21,-7.77,13.16,31.49
90547,0.24,-0.06,1.20,-24.84,-9.74,3.91,31.49
90557,0.21,-0.03,1.20,-18.05,-9.63,-5.63,31.49
90567,0.17,0.03,1.20,-10.76,-4.95,-14.32,31.49
90577,0.12,0.10,1.18,-4.24,4.66,-20.32,31.59
90587,-0.01,0.22,1.16,2.58,8.52,-18.44,31.59
90597,-0.09,0.28,1.12,3.88,11.89,-6.56,31.49
90607,-0.10,0.34,1.13,-3.07,13.62,8.23,31.59
90617,-0.06,0.43,1.11,-16.70,16.75,23.24,31.54
90627,0.01,0.45,1.12,-32.02,12.02,36.58,31.45
90637,0.12,0.38,1.12,-47.45,8.81,39.37,31.45
90647,0.31,0.34,1.20,-58.63,-0.43,30.34,31.45
90657,0.37,0.25,1.33,-60.46,-18.35,7.50,31.54
90667,0.49,0.22,1.37,-58.26,-35.36,-13.31,31.54
90677,0.64,0.19,1.40,-48.20,-47.05,-31.15,31.49
90687,0.81,0.17,1.37,-35.36,-43.44,-45.89,31.49
90697,0.86,0.15,1.29,-23.21,-28.05,-53.36,31.49
90707,0.83,0.11,1.20,-14.47,-4.82,-49.47,31.49
90717,0.75,0.17,1.12,-17.37,6.93,-38.43,31.49
90727,0.81,0.19,1.10,-27.91,29.37,-34.67,31.49
90737,0.74,0.17,1.08,-44.09,32.72,-44.18,31.49
90747,0.52,0.12,1.17,-64.85,6.37,-59.62,31.49
90757,0.37,0.07,1.25,-78.17,-27.34,-60.27,31.49
90767,0.34,0.04,1.33,-75.62,-47.08,-48.95,31.54
90777,0.38,0.02,1.37,-62.98,-34.11,-27.73,31.45
90787,0.40,-0.10,1.45,-35.34,0.31,-13.18,31.45
90797,0.29,-0.26,1.62,-4.99,38.87,-16.24,31.54
90807,0.03,-0.39,1.75,29.86,43.27,-27.69,31.49
90817,-0.05,-0.31,1.55,60.20,40.49,-39.94,31.45
90827,-0.15,-0.10,1.21,77.36,48.38,-35.97,31.54
90837,-0.21,0.05,0.92,78.47,58.27,-25.37,31.49
90847,-0.23,0.14,0.69,56.55,59.04,-24.24,31.49
90857,-0.20,0.08,0.59,13.80,26.24,-35.42,31.40
90867,-0.17,-0.12,0.50,-33.30,-25.73,-44.78,31.49
90877,0.05,-0.36,0.44,-57.07,-68.11,-38.18,31.40
90887,0.47,-0.68,0.47,-56.34,-59.77,-17.22,31.40
90897,0.69,-0.87,0.57,-51.24,-11.54,4.76,31.49
90907,0.76,-1.01,0.73,-32.87,52.53,13.91,31.40
90917,0.60,-1.13,0.80,-19.08,109.63,3.11,31.45
90927,0.25,-1.01,0.72,-15.42,138.56,-8.00,31.45
