Timestamp,Acce_X,Acce_Y,Acce_Z,Gyro_X,Gyro_Y,Gyro_Z,Temp
22157,-0.03,0.12,1.08,10.98,-2.95,-5.50,32.58
22167,-0.03,0.12,1.06,12.21,-3.77,-5.25,32.48
22177,-0.00,0.14,1.04,12.55,0.23,-5.79,32.58
22187,-0.00,0.15,1.04,13.02,4.37,-5.79,32.48
22197,-0.02,0.15,1.02,12.31,7.53,-5.73,32.58
22207,-0.04,0.15,1.03,11.83,7.73,-6.11,32.58
22217,-0.05,0.15,1.03,10.89,5.57,-6.35,32.48
22227,-0.08,0.15,1.04,9.65,2.43,-5.76,32.58
22237,-0.11,0.15,1.03,9.73,-1.47,-3.86,32.58
22247,-0.11,0.14,1.02,10.27,-5.83,-1.54,32.53
22257,-0.12,0.13,1.01,10.75,-11.11,0.52,32.62
22267,-0.11,0.12,1.01,12.47,-16.27,2.38,32.44
22277,-0.09,0.11,0.98,14.15,-20.46,4.78,32.62
22287,-0.08,0.10,0.95,15.85,-24.08,5.85,32.62
22297,-0.06,0.09,0.91,17.28,-31.30,6.34,32.62
22307,-0.03,0.10,0.82,18.02,-39.21,6.24,32.62
22317,0.02,0.13,0.71,16.85,-44.72,6.50,32.53
22327,0.06,0.13,0.63,12.24,-48.27,5.86,32.58
22337,0.08,0.17,0.55,5.50,-53.63,3.02,32.53
22347,0.14,0.17,0.44,-3.15,-45.85,0.89,32.62
22357,0.19,0.14,0.39,-12.32,-31.59,-2.58,32.67
22367,0.15,0.13,0.42,-22.49,-20.44,-6.27,32.58
22377,0.13,0.11,0.45,-28.84,-13.50,-10.09,32.48
22387,0.10,0.09,0.47,-35.18,-8.85,-14.14,32.48
22397,0.04,0.10,0.48,-40.52,-5.42,-16.53,32.58
22407,-0.00,0.09,0.49,-45.07,-6.90,-16.87,32.58
22417,-0.02,0.11,0.48,-49.76,-8.99,-14.60,32.48
22427,-0.01,0.12,0.44,-55.44,-6.63,-12.67,32.58
22437,-0.01,0.12,0.40,-62.63,-2.98,-10.89,32.48
22447,-0.02,0.11,0.40,-70.12,-1.10,-9.05,32.58
22457,-0.04,0.11,0.40,-77.98,-1.88,-7.63,32.58
22467,-0.05,0.12,0.40,-86.67,-4.32,-6.35,32.53
22477,-0.06,0.11,0.43,-95.39,-8.67,-4.89,32.53
22487,-0.07,0.11,0.46,-103.39,-12.32,-3.62,32.44
22497,-0.08,0.09,0.50,-110.96,-17.60,-1.51,32.44
22507,-0.07,0.05,0.55,-116.37,-23.19,2.37,32.62
22517,-0.04,-0.00,0.58,-119.11,-24.56,6.23,32.53
22527,-0.01,-0.07,0.60,-120.75,-20.31,11.04,32.62
22537,0.00,-0.11,0.62,-121.79,-12.64,16.24,32.53
22547,0.02,-0.16,0.67,-121.80,-6.96,20.98,32.62
22557,0.05,-0.22,0.74,-121.44,-8.23,24.14,32.53
22567,0.09,-0.28,0.85,-119.37,-15.80,25.47,32.53
22577,0.11,-0.33,0.92,-117.85,-30.47,25.40,32.58
22587,0.17,-0.34,0.97,-118.81,-43.24,25.66,32.48
22597,0.24,-0.37,1.01,-121.16,-52.02,24.15,32.48
22607,0.33,-0.38,1.03,-122.76,-52.87,21.76,32.67
22617,0.38,-0.42,1.06,-121.88,-48.20,18.52,32.58
22627,0.43,-0.47,1.11,-114.96,-34.06,15.51,32.48
22637,0.44,-0.53,1.14,-104.93,-20.81,11.22,32.58
22647,0.44,-0.53,1.15,-97.88,-14.38,3.53,32.58
22657,0.40,-0.50,1.13,-94.21,-19.94,-4.46,32.58
22667,0.38,-0.46,1.07,-95.44,-27.80,-10.06,32.58
22677,0.39,-0.45,1.02,-97.42,-30.46,-12.79,32.58
22687,0.40,-0.48,0.97,-100.78,-26.69,-16.90,32.67
22697,0.40,-0.53,0.97,-101.79,-21.94,-21.97,32.53
22707,0.38,-0.55,0.94,-102.99,-20.14,-25.68,32.53
22717,0.34,-0.58,0.90,-106.27,-15.77,-27.92,32.53
22727,0.33,-0.64,0.90,-106.61,-11.88,-30.41,32.53
