Timestamp,Acce_X,Acce_Y,Acce_Z,Gyro_X,Gyro_Y,Gyro_Z,Temp
58737,-0.03,-1.04,0.06,-2.34,0.47,2.44,30.46
58747,-0.02,-1.04,0.06,-2.79,1.95,4.50,30.37
58757,-0.02,-1.05,0.07,-3.27,3.31,4.95,30.37
58767,0.00,-1.05,0.08,-3.89,4.44,3.48,30.55
58777,0.01,-1.06,0.09,-3.60,4.35,1.30,30.51
58787,0.01,-1.06,0.10,-1.86,2.55,-0.29,30.51
58797,0.01,-1.05,0.09,0.23,3.04,-1.37,30.41
58807,-0.02,-1.05,0.09,1.13,2.93,-1.31,30.60
58817,-0.09,-1.03,0.10,1.76,0.98,5.01,30.51
58827,-0.11,-1.03,0.10,5.79,1.22,15.74,30.51
58837,-0.09,-1.01,0.06,6.63,5.88,26.09,30.46
58847,-0.06,-1.02,0.06,6.49,10.70,34.53,30.55
58857,-0.05,-1.02,0.05,7.62,13.39,42.06,30.55
58867,0.02,-1.04,0.03,7.59,14.12,46.95,30.46
58877,0.07,-1.06,0.03,5.76,14.98,50.14,30.46
58887,0.12,-1.07,0.04,5.18,17.15,51.47,30.55
58897,0.18,-1.09,0.04,5.95,21.31,50.53,30.55
58907,0.23,-1.11,0.04,7.21,28.12,46.89,30.51
58917,0.28,-1.12,0.05,9.63,33.89,40.27,30.51
58927,0.31,-1.13,0.06,12.61,37.79,31.45,30.41
58937,0.31,-1.13,0.07,15.44,40.67,20.08,30.51
58947,0.32,-1.12,0.05,17.08,46.49,9.76,30.41
58957,0.31,-1.12,0.04,17.94,51.36,-1.97,30.51
58967,0.28,-1.12,0.04,17.62,54.44,-13.22,30.46
58977,0.25,-1.12,0.05,18.18,55.31,-21.95,30.55
58987,0.22,-1.12,0.02,18.81,58.55,-28.00,30.46
58997,0.21,-1.11,0.04,18.37,61.91,-32.64,30.46
59007,0.19,-1.09,0.04,18.56,65.25,-35.97,30.55
59017,0.17,-1.08,0.04,19.25,68.87,-37.68,30.46
59027,0.15,-1.07,0.04,20.66,72.58,-36.53,30.46
59037,0.13,-1.06,0.03,21.62,76.47,-33.95,30.55
59047,0.11,-1.05,0.04,21.56,79.82,-30.09,30.51
59057,0.10,-1.05,0.02,21.34,83.21,-25.89,30.51
59067,0.09,-1.06,0.03,20.18,85.76,-23.21,30.51
59077,0.09,-1.06,0.04,19.88,86.11,-20.72,30.60
59087,0.10,-1.06,0.02,19.36,86.79,-18.00,30.51
59097,0.10,-1.04,0.04,18.14,89.94,-14.98,30.46
59107,0.12,-1.02,0.03,19.97,90.37,-10.64,30.55
59117,0.16,-1.01,0.01,20.44,97.02,-6.49,30.55
59127,0.18,-1.01,-0.00,18.92,102.82,-5.37,30.55
59137,0.20,-1.02,0.01,16.87,107.15,-6.82,30.46
59147,0.22,-1.04,0.00,15.60,110.60,-10.67,30.46
59157,0.22,-1.05,0.00,13.68,112.99,-17.77,30.55
59167,0.22,-1.06,0.01,14.43,111.47,-25.85,30.46
59177,0.22,-1.05,-0.02,16.14,111.76,-31.57,30.41
59187,0.22,-1.03,-0.07,16.66,116.64,-34.44,30.51
59197,0.21,-1.02,-0.09,14.44,123.10,-38.05,30.41
59207,0.20,-1.03,-0.09,9.83,122.84,-45.08,30.51
59217,0.15,-1.05,-0.10,5.59,125.39,-50.46,30.60
59227,0.11,-1.06,-0.10,2.96,124.23,-53.33,30.55
59237,0.06,-1.05,-0.07,2.53,123.89,-51.95,30.46
59247,0.06,-1.02,-0.08,4.87,125.42,-46.32,30.46
59257,0.05,-1.02,-0.11,6.37,134.46,-39.36,30.46
59267,0.04,-1.01,-0.09,5.07,141.11,-33.33,30.46
59277,0.04,-1.03,-0.09,5.42,145.60,-26.35,30.55
59287,0.02,-1.01,-0.11,8.12,148.17,-17.92,30.46
59297,0.02,-1.04,-0.15,7.60,154.46,-10.20,30.51
59307,0.00,-1.06,-0.12,7.76,157.02,-3.85,30.51
59317,0.03,-1.11,-0.12,9.18,158.67,-1.69,30.51
59327,0.04,-1.13,-0.09,8.46,158.87,-5.34,30.51
59337,0.06,-1.14,-0.05,10.89,153.27,-11.65,30.51
59347,0.05,-1.13,-0.06,13.77,148.34,-18.75,30.51
59357,0.05,-1.10,-0.07,15.27,145.24,-24.84,30.55
59367,0.04,-1.04,-0.11,17.25,144.69,-27.05,30.55
59377,0.02,-0.99,-0.17,14.93,147.19,-27.27,30.46
59387,0.02,-0.96,-0.21,9.48,151.01,-25.05,30.46
59397,0.01,-0.95,-0.22,2.64,153.11,-23.57,30.55
59407,-0.00,-0.93,-0.19,-2.75,152.46,-21.36,30.46
59417,-0.00,-0.95,-0.20,-5.63,152.41,-19.54,30.46
59427,-0.01,-0.96,-0.18,-7.47,153.66,-18.29,30.51
59437,-0.01,-0.92,-0.16,-6.09,154.47,-15.31,30.60
59447,0.01,-0.90,-0.18,-2.49,158.03,-9.25,30.51
59457,0.01,-0.89,-0.25,-2.09,167.74,-3.22,30.51
59467,0.03,-0.88,-0.30,-4.56,175.82,0.84,30.41
59477,0.03,-0.91,-0.30,-11.25,186.46,2.21,30.60
59487,0.02,-0.92,-0.31,-14.43,188.15,2.47,30.46
59497,0.03,-0.95,-0.33,-17.56,191.57,0.87,30.46
59507,0.01,-0.96,-0.32,-20.60,191.98,-3.31,30.46
59517,0.00,-0.95,-0.33,-21.73,190.87,-6.31,30.55
59527,-0.00,-0.95,-0.37,-23.25,195.92,-7.74,30.46
59537,-0.03,-0.95,-0.41,-26.78,202.27,-8.78,30.55
59547,-0.05,-0.96,-0.42,-31.44,204.55,-9.69,30.55
59557,-0.07,-0.99,-0.42,-34.63,206.75,-10.03,30.51
59567,-0.10,-1.05,-0.41,-37.13,205.11,-13.92,30.60
59577,-0.11,-1.11,-0.35,-36.87,199.71,-21.92,30.51
59587,-0.11,-1.13,-0.30,-32.52,193.34,-31.37,30.51
59597,-0.09,-1.11,-0.33,-28.23,191.66,-39.92,30.51
59607,-0.11,-1.12,-0.30,-21.77,186.37,-49.01,30.41
59617,-0.11,-1.10,-0.34,-22.70,188.70,-56.06,30.46
59627,-0.14,-1.07,-0.38,-21.37,185.15,-61.69,30.46
59637,-0.16,-1.06,-0.41,-25.25,185.66,-65.42,30.46
59647,-0.19,-1.03,-0.42,-29.11,182.37,-67.18,30.46
59657,-0.22,-1.05,-0.43,-33.68,173.95,-65.98,30.46
59667,-0.24,-1.08,-0.43,-38.70,164.73,-63.62,30.55
59677,-0.25,-1.11,-0.39,-42.96,157.66,-59.95,30.46
59687,-0.25,-1.12,-0.35,-46.11,155.15,-54.37,30.51
59697,-0.25,-1.14,-0.28,-44.44,152.15,-47.02,30.51
59707,-0.22,-1.12,-0.27,-40.44,152.92,-39.66,30.60
59717,-0.19,-1.10,-0.26,-33.79,154.70,-32.64,30.41
59727,-0.19,-1.09,-0.28,-27.30,156.34,-26.08,30.51
59737,-0.20,-1.08,-0.28,-23.24,151.37,-20.76,30.51
59747,-0.22,-1.07,-0.29,-23.07,147.15,-16.52,30.55
59757,-0.22,-1.07,-0.31,-24.78,135.37,-12.92,30.46
59767,-0.23,-1.07,-0.31,-29.33,128.49,-10.26,30.46
59777,-0.22,-1.06,-0.28,-32.70,118.20,-7.15,30.55
59787,-0.21,-1.07,-0.26,-34.12,110.32,-3.80,30.46
59797,-0.19,-1.06,-0.25,-34.27,104.93,-0.89,30.46
59807,-0.16,-1.08,-0.25,-32.90,105.56,1.19,30.37
59817,-0.19,-1.08,-0.23,-32.37,93.71,4.08,30.51
59827,-0.12,-1.09,-0.23,-32.29,99.94,6.53,30.51
59837,-0.13,-1.08,-0.20,-32.43,95.34,8.41,30.51
