Millis,Acce_X,Acce_Y,Acce_Z,Gyro_X,Gyro_Y,Gyro_Z,Temp
82067,-0.17,-0.95,0.06,-3.08,0.55,50.35,31.35
82077,-0.14,-0.96,0.01,-8.12,-3.76,40.12,31.45
82087,-0.11,-0.99,0.01,-16.09,-9.07,27.04,31.45
82097,-0.08,-1.03,0.04,-22.20,-9.65,13.62,31.40
82107,-0.09,-1.05,0.05,-25.51,-14.73,1.33,31.45
82117,-0.10,-1.07,0.07,-24.35,-15.56,-5.37,31.40
82127,-0.10,-1.08,0.09,-18.63,-11.71,-6.76,31.40
82137,-0.13,-1.08,0.08,-12.31,-5.02,-3.83,31.40
82147,-0.15,-1.07,0.09,-6.66,1.25,1.74,31.40
82157,-0.15,-1.06,0.07,-1.27,6.21,6.63,31.31
82167,-0.13,-1.06,0.06,0.15,9.83,7.76,31.40
82177,-0.12,-1.04,0.05,-0.56,11.37,3.27,31.40
82187,-0.13,-1.03,0.07,-3.21,8.12,-6.29,31.40
82197,-0.15,-1.01,0.05,-4.64,3.76,-14.66,31.45
82207,-0.14,-1.01,0.03,-6.79,2.20,-19.77,31.45
82217,-0.13,-1.02,0.01,-9.54,2.47,-22.56,31.45
82227,-0.14,-1.04,0.03,-11.88,2.24,-23.85,31.35
82237,-0.11,-1.08,0.05,-11.73,2.70,-24.41,31.35
82247,-0.09,-1.12,0.08,-8.20,3.69,-25.33,31.35
82257,-0.06,-1.13,0.09,-2.14,6.95,-25.76,31.45
82267,-0.05,-1.13,0.05,3.21,11.60,-24.75,31.40
82277,-0.05,-1.12,0.04,5.79,15.27,-22.55,31.35
82287,-0.06,-1.10,0.03,4.89,17.53,-20.23,31.40
82297,-0.06,-1.09,0.01,3.04,19.79,-17.08,31.40
82307,-0.11,-1.10,0.08,2.20,20.70,-16.53,31.40
82317,-0.17,-1.08,0.12,4.27,18.40,-15.54,31.40
82327,-0.21,-1.07,0.12,7.73,16.08,-11.34,31.40
82337,-0.23,-1.04,0.13,11.11,14.26,-4.61,31.40
82347,-0.23,-0.99,0.09,12.73,14.44,4.56,31.40
82357,-0.17,-1.00,0.06,9.19,17.50,12.44,31.21
82367,-0.14,-1.01,0.07,5.50,14.92,16.31,31.35
82377,-0.11,-1.04,0.07,2.03,14.82,17.05,31.45
82387,-0.04,-1.08,0.07,0.18,15.04,13.88,31.35
82397,-0.01,-1.10,0.09,-0.73,15.51,6.95,31.45
82407,-0.00,-1.11,0.11,-0.38,15.11,-3.28,31.45
82417,-0.01,-1.10,0.10,0.60,13.04,-12.82,31.26
82427,-0.00,-1.09,0.08,1.66,12.92,-19.05,31.35
82437,-0.01,-1.08,0.08,1.42,14.95,-22.31,31.49
82447,-0.00,-1.06,0.06,1.07,18.49,-23.10,31.40
82457,-0.01,-1.06,0.07,1.28,21.68,-22.96,31.40
82467,-0.01,-1.04,0.05,2.56,23.97,-20.89,31.40
82477,0.01,-1.03,0.03,3.76,27.50,-17.77,31.40
82487,0.02,-1.04,0.00,5.24,32.32,-12.87,31.40
82497,0.02,-1.06,0.01,5.74,37.85,-7.94,31.40
82507,0.02,-1.08,0.02,5.45,42.23,-6.23,31.31
82517,0.04,-1.10,0.04,5.21,44.23,-8.93,31.40
82527,0.04,-1.12,0.05,6.02,44.75,-14.40,31.45
82537,0.04,-1.10,0.06,7.56,45.40,-19.79,31.45
82547,0.03,-1.09,0.05,10.56,47.80,-23.82,31.45
82557,0.02,-1.09,0.05,12.50,51.71,-25.62,31.35
82567,-0.03,-1.07,0.06,12.72,53.51,-25.15,31.35
82577,-0.07,-1.05,0.06,13.94,55.95,-18.96,31.35
82587,-0.11,-1.05,0.07,15.97,59.94,-8.98,31.45
82597,-0.13,-1.03,0.09,17.47,64.67,0.58,31.45
82607,-0.14,-1.03,0.10,18.06,64.76,4.64,31.40
82617,-0.16,-1.03,0.11,17.68,61.66,4.15,31.40
82627,-0.16,-1.02,0.11,15.25,56.95,0.82,31.40
82637,-0.20,-1.02,0.16,12.92,50.18,-3.15,31.31
82647,-0.25,-1.04,0.17,13.10,44.66,-2.02,31.40
82657,-0.31,-1.07,0.21,15.08,39.62,3.25,31.40
82667,-0.34,-1.07,0.26,20.55,40.03,13.73,31.31
82677,-0.34,-1.04,0.27,28.85,40.00,25.92,31.31
82687,-0.33,-0.99,0.27,38.15,42.06,36.89,31.31
82697,-0.31,-0.92,0.23,44.17,41.42,45.69,31.45
82707,-0.26,-0.85,0.14,44.31,41.94,49.63,31.35
82717,-0.24,-0.82,0.09,36.18,40.05,48.27,31.35
82727,-0.22,-0.85,0.04,21.44,35.13,40.84,31.35
82737,-0.20,-0.89,0.09,4.34,25.95,28.02,31.26
82747,-0.19,-0.93,0.15,-8.21,16.52,14.70,31.45
82757,-0.17,-0.96,0.16,-13.31,11.77,6.18,31.35
82767,-0.16,-0.98,0.16,-11.95,11.74,3.82,31.45
82777,-0.15,-1.00,0.13,-6.46,16.21,5.39,31.49
82787,-0.13,-1.03,0.15,-2.64,19.31,6.93,31.31
82797,-0.11,-1.06,0.16,-0.67,21.69,5.10,31.31
82807,-0.09,-1.07,0.16,2.21,23.13,1.89,31.40
82817,-0.06,-1.07,0.15,5.76,26.35,-1.77,31.40
82827,-0.04,-1.06,0.12,9.44,29.82,-6.06,31.40
82837,-0.06,-1.06,0.10,10.66,30.85,-12.24,31.40
82847,-0.06,-1.06,0.07,9.97,29.45,-19.16,31.31
82857,-0.04,-1.07,0.06,5.42,29.08,-25.95,31.40
82867,-0.06,-1.07,0.08,0.82,30.21,-31.25,31.45
82877,-0.06,-1.06,0.11,1.59,32.69,-32.84,31.54
82887,-0.05,-1.06,0.10,5.08,37.60,-31.59,31.35
82897,-0.06,-1.07,0.11,8.35,41.56,-30.56,31.35
82907,-0.09,-1.08,0.13,12.05,42.75,-29.80,31.35
82917,-0.08,-1.09,0.13,14.50,45.04,-29.50,31.45
82927,-0.08,-1.08,0.13,16.38,47.19,-29.22,31.35
82937,-0.09,-1.06,0.13,18.17,49.36,-29.69,31.35
82947,-0.09,-1.02,0.13,18.75,50.89,-29.39,31.31
82957,-0.11,-0.98,0.12,19.11,51.85,-28.41,31.35
82967,-0.14,-0.96,0.13,18.69,52.70,-26.75,31.40
82977,-0.17,-0.92,0.13,17.95,52.63,-21.92,31.40
82987,-0.16,-0.98,0.17,17.04,54.75,-14.67,31.31
82997,-0.18,-0.94,0.14,18.87,60.82,-4.95,31.31
83007,-0.23,-0.89,0.12,17.19,54.44,4.23,31.40
83017,-0.22,-0.88,0.13,15.48,60.23,15.25,31.40
