Timestamp,Acce_X,Acce_Y,Acce_Z,Gyro_X,Gyro_Y,Gyro_Z,Temp
241417,0.24,-0.14,0.87,2.76,-7.34,-2.21,28.62
241427,0.24,-0.13,0.86,3.99,-7.62,-2.69,28.62
241437,0.25,-0.13,0.84,3.73,-5.23,-2.65,28.58
241447,0.25,-0.13,0.84,1.81,-1.98,-3.02,28.48
241457,0.26,-0.13,0.84,0.34,1.27,-4.20,28.62
241467,0.27,-0.12,0.85,-1.76,3.73,-5.29,28.53
241477,0.26,-0.12,0.87,-3.01,3.25,-7.55,28.62
241487,0.26,-0.11,0.88,-1.95,0.06,-9.00,28.67
241497,0.25,-0.08,0.88,0.22,-2.24,-9.56,28.48
241507,0.24,-0.06,0.88,2.41,-2.82,-9.58,28.53
241517,0.23,-0.05,0.90,5.19,-2.44,-9.96,28.62
241527,0.23,-0.02,0.89,7.19,-1.26,-10.34,28.48
241537,0.24,-0.01,0.88,9.03,1.37,-10.85,28.48
241547,0.25,0.01,0.89,11.37,8.15,-12.32,28.62
241557,0.28,0.02,0.87,12.23,13.46,-16.10,28.62
241567,0.30,0.06,0.88,13.82,16.18,-20.02,28.62
241577,0.31,0.06,0.87,16.02,15.28,-24.55,28.48
241587,0.31,0.06,0.84,17.71,12.49,-30.47,28.58
241597,0.30,0.06,0.79,17.32,13.27,-34.63,28.62
241607,0.27,0.04,0.78,14.26,12.18,-40.05,28.62
241617,0.24,0.04,0.75,6.95,8.40,-46.88,28.58
241627,0.21,0.04,0.75,-5.51,2.72,-52.50,28.58
241637,0.18,0.05,0.76,-16.95,-7.65,-57.75,28.48
241647,0.15,0.08,0.77,-27.11,-18.83,-61.84,28.62
241657,0.13,0.08,0.78,-34.76,-30.11,-62.65,28.62
241667,0.13,0.09,0.78,-40.27,-38.09,-62.91,28.62
241677,0.09,0.10,0.80,-44.01,-42.06,-60.58,28.67
241687,0.06,0.09,0.84,-41.09,-44.39,-51.73,28.53
241697,0.09,0.09,0.84,-33.20,-38.62,-41.69,28.53
241707,0.15,0.11,0.80,-26.38,-19.01,-29.23,28.58
241717,0.23,0.09,0.77,-18.02,11.39,-16.62,28.58
241727,0.26,0.08,0.77,-10.64,41.38,-6.60,28.53
241737,0.26,0.07,0.83,-7.72,61.89,0.34,28.62
241747,0.25,0.06,0.88,-5.23,72.20,3.41,28.62
241757,0.23,0.04,0.96,-1.37,68.47,3.05,28.48
241767,0.25,0.04,1.00,-1.30,50.96,-2.56,28.48
241777,0.27,0.04,1.00,-5.47,29.33,-4.19,28.62
241787,0.28,0.04,1.05,-7.83,7.82,-9.95,28.53
241797,0.30,0.05,1.06,-6.21,-7.61,-18.15,28.58
