Timestamp,Acce_X,Acce_Y,Acce_Z,Gyro_X,Gyro_Y,Gyro_Z,Temp
40267,-0.25,-0.01,1.04,-24.47,-30.66,59.34,32.39
40277,-0.10,-0.07,1.02,-27.59,-33.50,74.50,32.48
40287,0.05,-0.13,0.99,-27.50,-32.50,81.19,32.48
40297,0.20,-0.17,0.99,-27.02,-30.56,77.11,32.48
40307,0.27,-0.20,1.00,-30.09,-26.34,63.74,32.48
40317,0.24,-0.24,1.06,-35.33,-23.45,50.95,32.48
40327,0.19,-0.22,1.12,-41.19,-20.99,41.80,32.44
40337,0.17,-0.16,1.12,-40.82,-17.16,36.84,32.53
40347,0.18,-0.12,1.12,-34.47,-13.02,34.98,32.44
40357,0.21,-0.08,1.12,-31.21,-6.69,29.71,32.53
40367,0.23,-0.02,1.12,-26.96,-1.69,20.18,32.53
40377,0.23,0.03,1.18,-16.37,0.55,9.48,32.53
40387,0.19,0.07,1.16,-5.45,-0.37,-0.89,32.44
40397,0.14,0.12,1.18,0.43,-3.59,-8.66,32.53
40407,0.08,0.18,1.19,2.15,-9.04,-13.37,32.53
40417,0.07,0.26,1.15,0.47,-10.03,-16.52,32.44
40427,0.05,0.32,1.16,-3.39,-16.90,-15.88,32.48
40437,0.06,0.38,1.14,-6.67,-14.82,-13.68,32.48
40447,0.06,0.40,1.18,-3.19,-11.42,-10.64,32.48
40457,0.07,0.37,1.21,3.65,-7.42,-6.76,32.48
40467,0.05,0.35,1.23,7.40,-4.98,-4.21,32.48
40477,0.04,0.31,1.24,9.95,-6.52,-0.89,32.48
40487,0.06,0.28,1.23,9.79,-9.98,2.09,32.48
40497,0.10,0.26,1.21,8.73,-17.24,3.73,32.58
40507,0.15,0.21,1.16,3.71,-22.40,5.65,32.48
40517,0.20,0.19,1.15,-1.68,-20.85,5.74,32.48
40527,0.23,0.15,1.14,-2.11,-14.09,5.79,32.39
40537,0.22,0.11,1.15,1.63,-4.95,4.72,32.44
40547,0.22,0.07,1.18,8.78,0.96,2.85,32.53
40557,0.21,0.07,1.17,16.64,2.15,-1.04,32.44
40567,0.17,0.09,1.15,22.52,-0.78,-6.38,32.44
40577,0.15,0.12,1.15,25.83,-6.70,-13.50,32.44
40587,0.11,0.18,1.09,24.85,-15.28,-20.29,32.44
40597,0.07,0.22,1.04,21.80,-26.72,-26.44,32.48
40607,0.05,0.27,1.01,11.88,-33.33,-33.11,32.44
40617,-0.01,0.30,1.01,5.11,-49.69,-32.96,32.53
40627,-0.01,0.35,0.97,-0.05,-56.26,-31.57,32.48
40637,-0.01,0.37,0.99,0.14,-53.98,-25.48,32.39
40647,0.01,0.41,1.00,4.82,-50.43,-17.77,32.48
40657,0.05,0.45,0.99,11.54,-44.11,-10.50,32.39
40667,0.09,0.49,0.97,16.02,-37.66,-4.21,32.48
40677,0.18,0.52,0.93,12.34,-32.27,-0.40,32.48
40687,0.23,0.57,0.95,4.23,-31.91,2.21,32.48
40697,0.29,0.57,0.95,-3.65,-31.73,1.60,32.48
40707,0.31,0.52,1.00,-11.66,-32.79,-1.68,32.48
40717,0.33,0.46,1.08,-11.98,-32.15,-2.38,32.44
40727,0.31,0.37,1.16,-10.17,-27.77,-2.52,32.44
40737,0.30,0.29,1.21,-4.85,-25.10,-2.66,32.34
40747,0.32,0.24,1.30,0.08,-15.91,-3.97,32.44
40757,0.31,0.17,1.32,3.36,-10.15,-7.68,32.44
40767,0.29,0.13,1.36,2.90,-11.53,-12.31,32.53
40777,0.27,0.08,1.35,3.02,-19.71,-18.73,32.44
40787,0.27,0.06,1.28,6.24,-24.02,-22.24,32.44
40797,0.27,0.09,1.13,9.30,-15.19,-19.66,32.53
40807,0.29,0.09,1.01,8.06,7.07,-11.13,32.48
40817,0.30,0.04,0.97,6.12,32.73,-2.46,32.48
40827,0.29,-0.02,0.96,-0.53,48.72,3.39,32.48
40837,0.26,-0.13,1.05,-0.63,50.11,5.69,32.48
40847,0.22,-0.15,1.03,-14.40,46.23,1.42,32.48
40857,0.19,-0.23,1.06,-33.92,30.78,-9.22,32.48
40867,0.14,-0.28,1.10,-58.03,11.27,-23.51,32.48
40877,0.09,-0.32,1.09,-68.90,-15.54,-37.50,32.39
40887,0.10,-0.38,0.98,-79.47,-19.19,-52.31,32.58
40897,0.09,-0.44,0.90,-78.78,-14.72,-63.66,32.48
40907,0.08,-0.42,0.82,-79.22,-0.03,-71.36,32.53
40917,0.01,-0.41,0.76,-81.97,9.28,-70.85,32.44
40927,-0.10,-0.39,0.78,-86.47,0.75,-56.95,32.44
40937,-0.14,-0.39,0.85,-91.94,-25.45,-33.47,32.44
40947,-0.07,-0.45,0.85,-97.77,-48.43,-6.73,32.44
40957,0.06,-0.52,0.86,-102.24,-55.16,16.17,32.53
40967,0.20,-0.61,0.96,-90.69,-52.87,31.74,32.44
40977,0.29,-0.73,1.02,-69.24,-33.53,41.56,32.48
40987,0.35,-0.79,1.08,-43.44,-9.50,42.52,32.53
40997,0.39,-0.77,1.09,-27.86,22.49,33.89,32.48
41007,0.35,-0.67,1.10,-17.89,49.65,21.60,32.48
41017,0.27,-0.55,1.06,-6.90,69.19,11.11,32.39
41027,0.18,-0.42,0.93,2.14,90.61,6.90,32.48
41037,0.07,-0.36,0.78,-3.68,122.67,9.34,32.48
41047,-0.07,-0.38,0.75,-10.00,149.97,14.82,32.48
41057,-0.29,-0.45,0.92,-13.51,166.70,24.52,32.48
41067,-0.44,-0.61,1.12,-5.37,160.09,36.58,32.48
41077,-0.50,-0.75,1.30,11.30,141.27,44.35,32.48
41087,-0.55,-0.80,1.38,25.45,101.44,47.98,32.48
41097,-0.55,-0.81,1.36,48.69,61.18,46.98,32.34
41107,-0.50,-0.78,1.20,72.64,19.08,50.50,32.53
41117,-0.39,-0.75,0.93,89.04,-9.39,59.97,32.44
41127,-0.15,-0.68,0.59,87.24,-7.60,66.92,32.53
41137,-0.03,-0.55,0.34,71.28,15.91,69.40,32.53
41147,0.02,-0.51,0.34,58.89,34.99,68.15,32.44
41157,0.03,-0.49,0.37,50.23,48.21,61.69,32.44
41167,0.05,-0.45,0.47,39.36,56.03,55.19,32.44
41177,-0.06,-0.50,0.67,24.63,33.86,46.64,32.44
41187,-0.15,-0.41,0.73,9.79,4.15,40.38,32.48
41197,-0.00,-0.40,0.72,0.99,-15.94,38.35,32.48
41207,0.18,-0.28,0.68,-9.88,-21.69,41.07,32.48
41217,0.39,-0.21,0.62,-23.51,-0.03,40.26,32.48
41227,0.40,-0.31,0.78,-39.25,25.69,28.85,32.48
41237,0.42,-0.46,1.00,-35.91,53.21,8.72,32.48
41247,0.28,-0.58,1.22,-23.48,83.56,-9.79,32.48
41257,0.08,-0.61,1.42,-2.08,102.82,-21.82,32.58
41267,-0.20,-0.62,1.59,11.25,96.31,-32.12,32.39
41277,-0.44,-0.61,1.64,31.31,51.83,-47.69,32.44
41287,-0.65,-0.47,1.33,35.34,28.17,-54.53,32.44
41297,-0.69,-0.19,1.00,39.62,14.05,-36.38,32.53
41307,-0.67,-0.05,0.72,39.40,19.21,-7.37,32.53
41317,-0.49,0.04,0.64,24.37,36.21,14.27,32.44
41327,-0.31,-0.03,0.78,2.24,28.96,19.73,32.53
41337,-0.18,-0.18,0.94,-7.57,0.12,11.13,32.44
41347,-0.07,-0.31,0.98,-27.86,-13.91,-0.37,32.44
41357,-0.14,-0.35,1.14,-31.15,-20.11,-9.05,32.48
41367,-0.23,-0.40,1.23,-16.38,-20.21,-11.76,32.58
41377,-0.32,-0.46,1.29,3.48,-13.15,-7.19,32.39
41387,-0.25,-0.45,1.23,18.93,-17.88,-6.49,32.58
41397,-0.21,-0.36,1.10,26.27,-15.44,-6.70,32.48
41407,-0.20,-0.24,0.95,28.05,-4.35,-4.02,32.48
41417,-0.17,-0.19,0.82,21.37,4.24,-2.47,32.48
41427,-0.22,-0.19,0.78,6.44,18.75,0.90,32.48
41437,-0.26,-0.15,0.79,-7.22,20.87,3.76,32.48
41447,-0.27,-0.14,0.86,-17.39,10.72,3.13,32.48
41457,-0.26,-0.17,0.97,-26.78,-2.96,-1.71,32.48
41467,-0.30,-0.26,1.08,-28.05,-14.75,-4.15,32.44
41477,-0.31,-0.34,1.24,-22.69,-22.87,-4.23,32.44
41487,-0.34,-0.38,1.35,-10.37,-33.89,-0.37,32.44
41497,-0.25,-0.36,1.25,0.84,-22.24,4.12,32.44
41507,-0.19,-0.32,1.19,9.89,-9.18,8.87,32.44
41517,-0.11,-0.28,1.09,14.15,11.44,12.37,32.44
41527,-0.09,-0.24,1.05,12.95,19.50,11.73,32.48
41537,-0.07,-0.21,1.08,7.88,17.53,4.66,32.44
41547,-0.07,-0.22,1.10,2.43,6.31,-0.99,32.53
41557,-0.09,-0.23,1.08,-1.60,-4.24,-6.23,32.44
41567,-0.14,-0.25,1.07,-3.24,-7.24,-10.52,32.48
41577,-0.23,-0.25,1.04,-4.34,-9.62,-11.71,32.48
41587,-0.30,-0.24,1.02,-3.16,-8.66,-7.83,32.48
41597,-0.33,-0.24,1.01,-0.85,-8.96,-2.76,32.48
41607,-0.31,-0.23,0.97,1.25,-6.44,2.05,32.48
41617,-0.27,-0.22,0.95,-0.95,-8.44,5.98,32.58
41627,-0.21,-0.18,0.93,-6.44,-9.57,8.73,32.48
41637,-0.13,-0.19,0.93,-12.85,-12.20,7.11,32.39
41647,-0.07,-0.23,0.97,-17.28,-15.79,3.73,32.58
41657,-0.04,-0.26,1.01,-20.09,-19.60,0.41,32.48
41667,-0.03,-0.31,1.02,-22.20,-23.88,-3.30,32.48
41677,-0.04,-0.36,1.04,-22.69,-26.44,-5.71,32.44
41687,-0.04,-0.35,1.05,-23.73,-23.80,-4.73,32.44
41697,-0.05,-0.32,1.04,-22.27,-15.45,0.76,32.53
41707,0.01,-0.32,1.00,-20.12,4.08,2.73,32.44
41717,0.03,-0.35,0.99,-16.35,15.51,4.40,32.53
41727,0.07,-0.41,0.97,-16.15,26.43,4.02,32.53
41737,0.11,-0.43,0.97,-17.04,33.18,-2.96,32.53
41747,0.15,-0.41,0.94,-23.19,39.50,-17.91,32.44
41757,0.06,-0.39,0.98,-34.35,35.88,-35.34,32.44
41767,-0.07,-0.41,1.03,-31.39,28.84,-46.82,32.44
41777,-0.21,-0.47,1.09,-12.18,19.74,-47.77,32.39
41787,-0.28,-0.47,1.12,5.79,19.08,-44.87,32.39
41797,-0.37,-0.50,1.20,15.48,17.28,-39.18,32.48
41807,-0.43,-0.51,1.29,25.27,6.44,-32.21,32.48
41817,-0.44,-0.48,1.33,36.38,-9.25,-27.57,32.48
41827,-0.43,-0.44,1.32,45.15,-30.14,-25.01,32.48
41837,-0.39,-0.41,1.21,44.95,-43.30,-25.40,32.48
41847,-0.31,-0.36,1.14,40.87,-49.91,-31.05,32.48
41857,-0.22,-0.36,1.08,32.63,-56.18,-39.45,32.39
41867,-0.17,-0.34,1.06,24.27,-59.63,-45.85,32.48
41877,-0.17,-0.31,1.03,20.89,-59.53,-44.70,32.53
41887,-0.19,-0.27,1.01,19.97,-44.75,-33.34,32.44
41897,-0.18,-0.25,1.00,23.69,-22.78,-19.42,32.44
41907,-0.16,-0.25,1.01,24.47,-7.07,-11.28,32.44
41917,-0.17,-0.24,1.03,19.10,-4.69,-6.99,32.44
41927,-0.13,-0.21,1.02,12.43,-13.08,-3.69,32.44
41937,-0.07,-0.15,0.93,7.95,-9.34,-7.60,32.44
41947,-0.05,-0.17,0.95,-2.06,-18.20,-13.22,32.48
41957,-0.03,-0.20,0.95,-8.67,-21.95,-17.51,32.44
41967,-0.06,-0.24,1.00,-10.50,-23.51,-17.13,32.44
41977,-0.09,-0.26,1.06,-4.15,-25.63,-16.34,32.48
41987,-0.10,-0.27,1.07,6.23,-30.56,-13.63,32.48
41997,-0.10,-0.25,1.01,11.33,-31.56,-7.40,32.29
42007,-0.07,-0.21,0.98,11.39,-31.95,-0.29,32.48
42017,-0.02,-0.13,0.95,9.76,-34.58,7.82,32.39
42027,0.04,-0.12,0.87,14.21,-33.11,15.68,32.48
42037,0.09,-0.17,0.83,7.01,-34.02,16.02,32.48
42047,0.16,-0.20,0.81,-3.82,-29.01,6.15,32.58
42057,0.15,-0.27,0.87,-19.18,-25.37,-9.57,32.48
42067,0.08,-0.33,1.01,-22.49,-29.71,-23.47,32.39
42077,-0.01,-0.31,1.05,-9.74,-35.80,-25.88,32.53
42087,-0.09,-0.26,1.03,0.46,-31.91,-17.83,32.53
42097,-0.06,-0.22,0.95,7.98,-18.61,-7.62,32.44
42107,-0.06,-0.19,0.90,8.38,-6.11,2.46,32.44
42117,-0.06,-0.18,0.90,5.57,-9.21,9.92,32.44
42127,0.01,-0.18,0.84,0.05,-7.95,8.02,32.44
42137,0.05,-0.19,0.82,-8.70,-9.92,0.95,32.44
42147,0.06,-0.16,0.82,-22.70,-4.11,-6.55,32.44
42157,-0.01,-0.18,0.92,-25.92,-7.28,-9.45,32.39
42167,-0.04,-0.22,1.03,-18.03,-13.19,-8.69,32.39
42177,-0.01,-0.23,1.05,-7.57,-15.59,-7.74,32.48
42187,0.07,-0.20,0.96,0.72,-13.28,-7.42,32.48
42197,0.13,-0.16,0.87,3.18,-0.11,-7.73,32.48
42207,0.15,-0.09,0.78,1.04,17.82,-8.08,32.39
42217,0.15,-0.04,0.75,-8.44,36.09,-7.92,32.39
42227,0.10,0.01,0.80,-19.86,45.33,-8.75,32.48
42237,0.08,0.00,0.85,-27.45,50.32,-10.23,32.48
42247,0.03,-0.03,0.96,-33.25,47.47,-12.84,32.48
42257,-0.02,-0.07,1.07,-36.00,37.10,-14.95,32.44
42267,-0.07,-0.08,1.18,-35.83,23.68,-16.72,32.44
42277,-0.12,-0.09,1.26,-29.13,11.65,-15.02,32.44
42287,-0.13,-0.10,1.30,-22.27,6.52,-8.89,32.44
42297,-0.10,-0.10,1.27,-15.08,2.84,-1.97,32.44
42307,-0.02,-0.09,1.25,-6.72,0.43,2.46,32.53
42317,0.12,-0.06,1.15,0.43,6.63,2.93,32.44
42327,0.18,-0.06,1.06,1.10,11.69,-1.98,32.39
42337,0.21,-0.06,1.06,-4.90,18.03,-8.72,32.53
42347,0.17,-0.08,1.13,-12.55,22.12,-14.49,32.44
42357,0.05,-0.12,1.25,-16.95,22.24,-18.85,32.39
42367,-0.06,-0.15,1.36,-14.85,13.11,-17.60,32.48
42377,-0.10,-0.13,1.40,-7.21,1.91,-14.92,32.48
42387,-0.09,-0.10,1.36,0.38,-7.48,-11.83,32.48
42397,-0.06,-0.10,1.28,4.93,-14.50,-9.69,32.39
42407,0.02,-0.07,1.18,9.34,-18.64,-8.44,32.48
42417,0.13,-0.01,1.06,12.37,-15.59,-11.77,32.48
42427,0.16,0.03,0.97,7.73,-8.05,-18.61,32.39
42437,0.14,0.05,0.98,1.36,-0.26,-24.08,32.48
42447,0.02,0.07,1.04,-3.36,6.32,-25.21,32.48
42457,-0.07,0.03,1.10,-2.90,11.57,-20.85,32.44
42467,-0.15,-0.00,1.14,-1.51,13.01,-15.98,32.44
42477,-0.19,-0.02,1.22,1.50,6.98,-12.46,32.44
42487,-0.18,-0.04,1.23,3.47,-5.08,-9.60,32.53
42497,-0.13,-0.04,1.18,1.77,-17.10,-8.52,32.53
42507,-0.07,-0.04,1.15,-0.60,-23.60,-7.69,32.34
42517,0.01,-0.04,1.10,0.15,-20.73,-7.25,32.44
42527,0.08,-0.04,1.06,1.34,-9.21,-8.81,32.53
42537,0.09,-0.04,1.06,3.71,4.15,-12.21,32.48
42547,0.05,-0.03,1.08,6.96,15.88,-14.82,32.44
42557,0.00,-0.01,1.10,8.44,26.84,-13.86,32.44
42567,-0.11,0.00,1.12,12.53,27.97,-11.79,32.48
42577,-0.14,0.01,1.11,9.65,27.21,-8.78,32.48
42587,-0.18,0.03,1.15,6.31,11.82,-4.09,32.48
42597,-0.19,0.07,1.16,3.44,-3.83,0.90,32.48
42607,-0.17,0.08,1.15,5.39,-15.36,6.79,32.48
42617,-0.10,0.07,1.14,8.31,-17.40,14.34,32.48
42627,-0.01,0.07,1.10,9.76,-10.84,16.46,32.48
42637,0.01,0.03,1.10,10.53,-7.82,13.21,32.39
42647,0.04,0.01,1.08,10.95,-7.36,8.47,32.48
42657,0.02,-0.02,1.08,9.57,-7.02,3.59,32.39
42667,-0.00,-0.03,1.06,7.36,-7.53,-0.37,32.53
42677,-0.02,-0.03,1.05,2.99,-8.32,-2.55,32.44
42687,-0.09,-0.03,1.05,-2.21,-7.42,2.18,32.44
42697,-0.14,-0.02,1.09,1.08,-4.52,14.40,32.44
42707,-0.10,-0.03,1.09,8.09,2.24,25.74,32.44
42717,-0.03,-0.04,1.06,6.95,8.03,32.29,32.44
42727,0.04,-0.08,1.04,7.47,10.70,33.01,32.44
42737,0.08,-0.13,1.04,0.47,12.60,27.39,32.44
42747,0.10,-0.17,1.04,-4.50,5.45,19.24,32.48
42757,0.08,-0.20,1.08,-7.45,-2.24,10.73,32.53
42767,0.06,-0.19,1.09,0.11,-11.37,5.68,32.44
42777,0.07,-0.19,1.04,4.23,-12.58,5.60,32.48
42787,0.11,-0.15,0.97,8.47,-7.18,4.12,32.48
42797,0.12,-0.11,0.92,10.40,2.50,2.20,32.48
42807,0.10,-0.06,0.90,10.73,10.29,0.03,32.39
42817,0.05,-0.04,0.89,8.37,13.60,-0.85,32.48
42827,0.05,0.00,0.86,3.24,15.18,-1.25,32.48
42837,0.05,0.02,0.83,-5.21,15.04,-3.13,32.48
42847,0.05,0.00,0.84,-13.62,11.11,-2.61,32.48
42857,0.07,-0.02,0.88,-21.71,9.02,0.03,32.48
42867,0.09,-0.04,0.95,-24.47,12.12,2.64,32.44
42877,0.10,-0.06,1.01,-23.10,18.90,5.22,32.34
42887,0.09,-0.07,1.06,-19.16,27.79,6.05,32.44
42897,0.08,-0.07,1.10,-15.50,32.24,4.15,32.44
42907,0.07,-0.08,1.14,-10.20,32.50,-0.78,32.44
42917,0.00,-0.06,1.17,-7.24,24.08,-4.87,32.44
42927,-0.03,-0.04,1.17,-3.34,15.62,-11.18,32.34
42937,-0.06,-0.01,1.16,-1.80,8.21,-16.06,32.44
42947,-0.09,0.03,1.09,-4.38,2.56,-17.53,32.44
42957,-0.10,0.07,1.02,-7.73,4.11,-16.53,32.39
42967,-0.15,0.06,1.05,-9.30,0.35,-10.31,32.34
42977,-0.14,0.06,1.06,-8.58,2.00,-1.19,32.48
42987,-0.12,0.03,1.07,-5.76,7.11,4.47,32.48
42997,-0.08,-0.03,1.09,-2.69,13.15,7.62,32.48
43007,-0.05,-0.05,1.12,-1.53,14.95,7.18,32.39
43017,-0.04,-0.07,1.12,-0.49,12.47,3.79,32.48
43027,-0.03,-0.06,1.14,-1.02,3.97,-1.34,32.48
43037,-0.05,-0.08,1.13,-3.85,-6.81,-5.39,32.48
43047,-0.05,-0.07,1.12,-6.00,-14.53,-6.70,32.58
43057,-0.04,-0.08,1.10,-6.38,-17.01,-5.73,32.48
43067,-0.02,-0.09,1.07,-5.50,-13.40,-3.60,32.58
