Millis,Acce_X,Acce_Y,Acce_Z,Gyro_X,Gyro_Y,Gyro_Z,Temp
152267,-0.00,-1.06,0.00,-1.24,-2.72,4.85,30.41
152277,0.00,-1.05,-0.00,-0.92,-1.50,5.13,30.41
152287,0.00,-1.05,-0.01,-0.40,-0.64,5.82,30.37
152297,0.01,-1.06,-0.01,-0.12,-0.52,6.89,30.46
152307,0.02,-1.07,-0.02,0.20,0.85,7.37,30.55
152317,0.04,-1.06,-0.03,1.10,2.75,7.31,30.46
152327,0.06,-1.07,-0.03,1.05,4.89,4.41,30.46
152337,0.07,-1.04,-0.04,-0.15,5.28,1.01,30.46
152347,0.07,-1.03,-0.06,-1.54,4.43,-1.69,30.46
152357,0.07,-1.03,-0.07,-2.79,6.41,-2.34,30.46
152367,0.07,-1.04,-0.06,-3.27,8.67,-0.98,30.51
152377,0.08,-1.05,-0.06,-2.99,11.62,1.02,30.41
152387,0.10,-1.07,-0.06,-1.56,14.81,3.10,30.51
152397,0.13,-1.09,-0.07,1.39,19.19,6.05,30.51
152407,0.16,-1.11,-0.10,4.27,23.51,7.94,30.41
152417,0.18,-1.15,-0.09,5.73,27.82,7.98,30.51
152427,0.21,-1.19,-0.09,5.73,32.61,5.85,30.46
152437,0.21,-1.22,-0.05,7.31,38.70,2.31,30.51
152447,0.20,-1.23,-0.04,10.37,42.69,-3.60,30.46
152457,0.19,-1.22,-0.03,13.11,44.73,-10.75,30.46
152467,0.17,-1.18,-0.05,14.98,47.05,-16.96,30.55
152477,0.13,-1.14,-0.06,16.41,49.30,-20.52,30.46
152487,0.10,-1.10,-0.09,16.32,51.40,-20.95,30.55
152497,0.09,-1.07,-0.11,14.47,54.70,-17.74,30.55
152507,0.08,-1.06,-0.13,12.24,57.83,-11.89,30.55
152517,0.08,-1.07,-0.13,10.44,61.07,-4.90,30.46
152527,0.09,-1.10,-0.12,11.16,64.50,0.23,30.60
152537,0.11,-1.12,-0.08,13.19,68.78,2.98,30.51
152547,0.11,-1.15,-0.07,17.21,71.65,3.74,30.60
152557,0.10,-1.17,-0.07,21.50,75.71,3.01,30.51
152567,0.09,-1.16,-0.07,25.74,78.34,2.18,30.51
152577,0.07,-1.14,-0.10,29.08,82.29,2.03,30.41
152587,0.05,-1.12,-0.13,31.48,87.63,2.26,30.51
152597,0.01,-1.11,-0.09,33.66,91.31,1.31,30.46
152607,-0.02,-1.10,-0.08,33.74,92.43,-1.25,30.51
152617,-0.05,-1.10,-0.06,32.60,90.90,-5.65,30.41
152627,-0.05,-1.09,-0.05,30.26,89.15,-11.07,30.46
152637,-0.06,-1.10,-0.01,27.89,88.35,-16.44,30.46
152647,-0.07,-1.08,-0.00,25.97,87.56,-20.90,30.46
152657,-0.09,-1.08,-0.00,25.59,86.46,-23.50,30.46
152667,-0.10,-1.07,0.03,24.64,85.76,-22.73,30.46
152677,-0.10,-1.06,0.04,24.95,84.84,-20.49,30.55
152687,-0.11,-1.07,0.05,25.94,84.70,-17.37,30.55
152697,-0.10,-1.06,0.08,26.53,83.73,-14.27,30.55
