Timestamp,Acce_X,Acce_Y,Acce_Z,Gyro_X,Gyro_Y,Gyro_Z,Temp
463327,0.14,-0.11,0.84,1.82,-1.42,-13.58,28.06
463337,0.15,-0.11,0.84,-0.93,-3.27,-15.68,27.92
463347,0.16,-0.10,0.83,-2.25,-5.52,-17.69,27.92
463357,0.15,-0.10,0.83,-3.89,-7.75,-20.00,28.01
463367,0.15,-0.09,0.82,-5.15,-9.42,-20.95,27.97
463377,0.14,-0.11,0.81,-5.89,-8.40,-19.55,27.97
463387,0.13,-0.13,0.82,-7.53,-6.24,-17.16,28.01
463397,0.12,-0.14,0.82,-10.13,-1.54,-13.47,27.92
463407,0.12,-0.18,0.85,-13.09,3.26,-9.81,27.97
463417,0.10,-0.21,0.88,-14.68,5.31,-5.70,27.97
463427,0.10,-0.24,0.90,-13.92,6.73,-0.70,27.97
463437,0.11,-0.26,0.92,-11.58,9.42,3.97,27.92
463447,0.15,-0.28,0.93,-8.10,13.15,7.07,27.92
463457,0.17,-0.28,0.95,-5.24,19.69,8.46,27.97
463467,0.19,-0.28,0.96,-1.91,23.90,8.20,27.97
463477,0.19,-0.27,0.97,1.40,24.76,6.15,27.92
463487,0.20,-0.26,0.96,4.38,21.33,1.08,28.01
463497,0.21,-0.23,0.93,6.70,15.69,-4.79,27.97
463507,0.20,-0.19,0.90,7.47,8.98,-11.24,28.06
463517,0.19,-0.14,0.86,6.50,4.21,-17.04,27.97
463527,0.14,-0.09,0.83,4.53,2.61,-20.54,27.92
463537,0.08,-0.05,0.83,4.20,0.88,-21.42,27.92
463547,0.02,-0.02,0.82,4.71,1.74,-18.81,27.97
463557,-0.03,-0.01,0.82,3.93,4.44,-14.38,27.97
463567,-0.09,-0.01,0.82,0.90,4.46,-8.72,28.01
463577,-0.12,0.00,0.84,-3.03,2.91,-1.31,27.92
463587,-0.12,0.02,0.86,-4.72,1.92,6.34,28.01
463597,-0.10,0.03,0.87,-4.68,3.04,14.27,27.97
463607,-0.08,0.04,0.89,-3.26,4.39,22.51,27.97
463617,-0.04,0.02,0.89,0.60,8.69,30.26,27.97
463627,0.00,0.01,0.87,6.22,15.69,37.02,27.92
463637,0.05,-0.01,0.87,11.33,24.56,41.92,27.97
463647,0.07,-0.04,0.86,12.61,33.40,44.28,27.97
463657,0.09,-0.07,0.88,11.17,38.75,44.60,27.97
463667,0.10,-0.08,0.91,8.28,39.02,44.32,28.01
463677,0.12,-0.09,0.92,8.18,36.80,41.47,27.92
463687,0.16,-0.11,0.92,9.07,38.26,36.60,27.87
463697,0.17,-0.12,0.92,9.40,40.27,30.52,28.06
463707,0.17,-0.11,0.95,9.65,38.73,23.03,28.01
463717,0.16,-0.11,0.97,10.04,33.18,14.40,27.92
463727,0.15,-0.10,0.97,11.50,28.57,5.75,27.92
463737,0.15,-0.08,0.98,12.56,23.63,-4.11,27.97
463747,0.15,-0.05,0.98,12.35,17.60,-15.16,27.97
463757,0.13,-0.01,0.99,10.24,9.42,-26.27,27.92
463767,0.11,0.03,0.98,9.21,0.34,-35.89,27.92
463777,0.08,0.07,0.95,10.75,-6.20,-41.98,27.97
463787,0.06,0.10,0.93,13.50,-7.43,-44.15,27.97
463797,0.04,0.11,0.89,16.69,-3.73,-42.82,27.97
463807,0.04,0.13,0.85,20.16,6.79,-36.67,28.06
463817,0.03,0.13,0.84,21.46,18.92,-30.54,27.92
463827,0.07,0.14,0.80,21.02,32.53,-27.11,27.87
463837,0.11,0.15,0.81,15.14,41.18,-26.79,27.87
463847,0.11,0.16,0.84,8.57,38.10,-31.53,27.97
463857,0.11,0.19,0.89,1.66,25.01,-38.33,27.92
463867,0.10,0.19,0.90,-3.02,6.60,-44.03,27.92
463877,0.06,0.16,0.90,-2.73,-9.36,-45.30,27.97
463887,0.04,0.13,0.88,2.37,-14.92,-39.18,27.97
463897,0.06,0.12,0.85,5.95,-7.18,-27.95,28.01
463907,0.04,0.09,0.83,8.93,10.51,-12.60,28.01
463917,0.03,0.07,0.86,11.62,27.53,5.64,28.01
463927,0.08,0.04,0.87,15.61,43.25,19.50,27.97
463937,0.14,0.01,0.86,18.63,58.08,26.45,27.97
463947,0.18,-0.03,0.88,18.07,65.11,25.05,27.92
463957,0.20,-0.03,0.92,15.05,58.37,15.94,28.01
463967,0.18,-0.05,0.95,10.37,40.15,2.08,27.97
463977,0.12,-0.07,0.95,5.72,15.60,-9.03,27.97
463987,0.09,-0.11,0.95,8.67,-7.66,-15.94,27.97
