Millis,Acce_X,Acce_Y,Acce_Z,Gyro_X,Gyro_Y,Gyro_Z,Temp
79827,0.26,-0.36,0.73,-28.37,26.23,0.85,30.51
79837,0.20,-0.40,0.75,-41.54,41.07,4.52,30.41
79847,0.15,-0.42,0.73,-61.92,42.15,7.50,30.46
79857,0.17,-0.52,0.69,-76.85,43.88,5.51,30.46
79867,0.20,-0.58,0.66,-92.84,46.12,2.84,30.37
79877,0.20,-0.68,0.68,-103.48,55.50,-4.03,30.37
79887,0.14,-0.81,0.75,-101.31,67.51,-11.11,30.37
79897,-0.02,-0.95,1.00,-74.38,66.09,-12.60,30.55
79907,-0.16,-1.03,1.15,-35.44,57.15,-19.74,30.41
79917,-0.32,-1.09,1.25,-1.59,39.56,-30.06,30.51
79927,-0.45,-1.04,1.22,26.20,5.33,-38.14,30.41
79937,-0.46,-0.94,1.06,41.98,-29.62,-47.36,30.51
79947,-0.44,-0.83,0.80,43.27,-51.27,-55.47,30.46
79957,-0.34,-0.77,0.55,37.82,-65.16,-57.51,30.51
79967,-0.26,-0.71,0.38,27.34,-64.26,-54.09,30.51
79977,-0.16,-0.67,0.26,11.95,-56.87,-49.59,30.46
79987,-0.09,-0.67,0.27,-4.72,-52.03,-42.58,30.55
79997,0.05,-0.69,0.27,-18.21,-39.59,-37.15,30.46
80007,0.15,-0.72,0.42,-28.23,-33.47,-38.23,30.46
80017,0.22,-0.82,0.51,-43.25,-8.29,-46.35,30.37
80027,0.13,-0.95,0.77,-52.96,20.15,-47.13,30.46
80037,0.02,-1.05,1.01,-52.55,46.35,-35.69,30.46
80047,-0.06,-1.07,1.23,-43.94,66.55,-18.73,30.41
80057,-0.07,-1.06,1.36,-33.97,64.87,-8.43,30.41
80067,-0.03,-0.98,1.40,-25.63,42.96,-7.31,30.41
80077,0.13,-0.89,1.27,-13.94,11.45,-19.95,30.41
80087,0.29,-0.83,1.11,-18.95,-14.17,-38.38,30.41
80097,0.36,-0.78,1.00,-32.18,-24.79,-54.34,30.41
80107,0.31,-0.75,0.97,-44.09,-19.25,-58.44,30.46
80117,0.31,-0.76,0.94,-49.95,5.05,-47.24,30.46
80127,0.24,-0.77,0.98,-48.34,35.08,-31.69,30.46
80137,0.21,-0.78,1.05,-43.44,57.11,-20.63,30.46
80147,0.16,-0.74,1.09,-31.83,60.11,-15.69,30.46
80157,0.13,-0.71,1.07,-24.78,46.66,-14.64,30.46
80167,0.13,-0.66,1.03,-24.15,22.43,-16.63,30.46
80177,0.15,-0.63,1.00,-32.96,-8.64,-22.11,30.41
80187,0.18,-0.62,0.98,-45.48,-39.63,-33.91,30.41
80197,0.18,-0.63,0.98,-54.64,-60.75,-43.39,30.41
80207,0.18,-0.62,0.97,-52.93,-63.69,-43.77,30.41
80217,0.19,-0.61,0.93,-41.57,-37.01,-30.41,30.41
80227,0.18,-0.54,0.95,-27.21,7.11,-10.64,30.51
80237,0.18,-0.46,1.00,-16.73,47.95,7.53,30.41
80247,0.10,-0.45,1.10,-16.61,69.42,18.81,30.37
80257,0.01,-0.44,1.20,-23.92,65.10,21.89,30.46
80267,-0.06,-0.46,1.30,-25.92,41.95,18.41,30.37
80277,-0.12,-0.47,1.34,-21.59,8.60,18.98,30.55
80287,-0.10,-0.46,1.30,-17.77,-23.91,18.92,30.46
80297,-0.05,-0.46,1.29,-14.75,-47.50,19.54,30.37
80307,0.03,-0.45,1.26,-9.30,-64.15,20.75,30.46
80317,0.09,-0.44,1.20,-4.27,-75.11,18.98,30.46
80327,0.17,-0.42,1.12,4.81,-85.79,18.17,30.51
80337,0.24,-0.39,0.99,14.34,-82.76,21.28,30.41
80347,0.32,-0.33,0.81,21.19,-70.41,24.24,30.32
80357,0.40,-0.28,0.68,20.21,-49.66,26.82,30.51
80367,0.43,-0.28,0.62,11.62,-25.25,29.66,30.41
80377,0.39,-0.24,0.60,1.01,-2.12,33.18,30.37
80387,0.32,-0.27,0.67,-8.24,22.50,38.76,30.46
80397,0.22,-0.25,0.73,-13.02,38.73,48.81,30.46
80407,0.06,-0.30,0.86,-9.01,43.95,59.01,30.46
80417,-0.02,-0.30,0.90,-4.70,40.72,69.16,30.37
80427,-0.07,-0.31,0.84,-6.20,38.76,76.02,30.55
80437,-0.11,-0.31,0.83,-14.87,40.17,81.28,30.46
80447,-0.16,-0.28,0.82,-25.01,43.73,82.26,30.46
80457,-0.28,-0.29,0.89,-36.15,39.69,85.21,30.51
80467,-0.33,-0.34,0.95,-45.50,20.11,88.32,30.41
80477,-0.29,-0.41,1.05,-52.18,-11.21,88.00,30.51
80487,-0.20,-0.45,1.09,-56.06,-46.90,85.73,30.51
80497,-0.00,-0.52,1.05,-48.69,-64.58,87.85,30.41
80507,0.19,-0.50,0.92,-34.92,-38.47,97.19,30.46
80517,0.31,-0.48,0.87,-18.47,8.44,109.76,30.41
80527,0.34,-0.48,0.90,-6.82,56.12,114.70,30.46
80537,0.26,-0.49,1.03,-10.93,70.58,111.04,30.46
80547,0.14,-0.50,1.19,-22.31,45.62,98.26,30.37
80557,0.06,-0.55,1.31,-28.02,-14.50,77.15,30.46
80567,0.08,-0.57,1.24,-24.58,-69.19,57.11,30.46
80577,0.14,-0.56,1.18,-14.50,-115.30,37.24,30.37
80587,0.27,-0.53,0.97,1.31,-134.75,26.99,30.37
80597,0.38,-0.42,0.75,10.05,-113.11,28.03,30.51
80607,0.43,-0.37,0.60,10.64,-72.08,36.34,30.41
80617,0.43,-0.28,0.56,8.61,-23.08,48.15,30.41
80627,-0.09,-0.11,0.90,22.12,-66.92,59.02,30.41
80637,0.16,-0.32,0.65,20.40,-53.86,52.69,30.37
80647,0.34,-0.31,0.74,7.50,-27.68,47.95,30.41
80657,0.34,-0.27,0.89,-12.29,-26.84,56.96,30.46
80667,0.28,-0.37,1.01,-16.09,-56.11,39.77,30.46
80677,0.39,-0.56,1.15,6.18,-83.08,17.63,30.46
80687,0.47,-0.30,1.17,-0.20,-81.10,-7.18,30.46
80697,0.41,-0.31,1.10,37.11,-96.29,-20.08,30.46
80707,0.45,-0.18,0.99,60.56,-90.34,-22.38,30.46
80717,0.53,-0.11,0.91,62.82,-59.82,-23.62,30.46
80727,0.39,-0.08,0.92,64.52,-38.31,-25.66,30.41
80737,0.33,-0.03,1.02,85.50,-51.05,-21.24,30.41
80747,0.45,-0.15,0.86,58.90,-38.73,-32.37,30.41
80757,0.16,-0.14,0.92,64.38,-88.50,-42.70,30.32
80767,0.22,-0.18,1.05,60.35,-72.85,-53.53,30.37
80777,0.33,-0.19,1.01,51.69,-60.38,-61.08,30.51
80787,0.32,-0.17,0.89,47.66,-43.80,-58.11,30.41
80797,0.18,-0.22,0.96,37.80,-19.53,-53.33,30.46
80807,0.17,-0.17,0.91,20.63,12.03,-47.89,30.37
80817,0.15,-0.20,0.96,19.16,12.43,-43.86,30.37
80827,-0.03,-0.32,1.11,18.02,-0.85,-43.48,30.37
80837,0.04,-0.36,1.18,22.32,-21.36,-53.16,30.37
80847,0.06,-0.33,1.28,26.78,-29.71,-59.85,30.46
80857,0.14,-0.36,1.36,39.68,-40.64,-66.67,30.41
80867,0.22,-0.39,1.22,63.16,-32.09,-74.14,30.41
80877,0.27,-0.32,1.14,79.02,-9.11,-77.45,30.51
80887,0.20,-0.16,1.00,90.27,27.10,-69.30,30.41
80897,0.15,-0.01,0.92,79.95,54.82,-58.96,30.46
80907,0.12,0.10,0.92,58.63,61.71,-45.60,30.41
80917,-0.07,0.14,1.01,39.71,31.39,-33.04,30.41
80927,0.06,0.09,1.01,28.12,25.48,-9.62,30.37
80937,-0.07,-0.01,1.10,-8.12,24.72,-15.57,30.37
80947,0.05,-0.13,1.14,-2.20,27.39,-20.53,30.46
80957,-0.08,-0.14,1.24,34.32,8.50,-23.59,30.55
80967,0.34,-0.23,1.29,42.53,48.32,-23.57,30.37
80977,0.20,-0.02,1.18,47.45,38.05,-23.45,30.46
80987,0.10,-0.05,1.18,37.97,37.86,-22.12,30.41
80997,0.11,-0.01,1.07,23.31,49.33,-20.46,30.41
81007,0.14,0.03,1.03,9.83,61.59,-15.74,30.41
81017,0.12,0.01,1.04,-3.62,68.05,-10.34,30.41
81027,-0.01,-0.02,1.14,-11.15,68.34,-6.03,30.41
81037,-0.04,-0.19,1.34,-1.86,56.40,-3.37,30.41
81047,0.03,-0.23,1.51,21.16,30.24,-5.73,30.41
81057,0.06,-0.24,1.40,37.82,9.08,-11.40,30.37
81067,0.03,-0.19,1.35,39.71,-7.86,-19.08,30.46
81077,0.04,-0.12,1.24,43.33,-22.17,-23.63,30.37
81087,0.08,-0.06,1.06,41.92,-13.97,-24.56,30.55
81097,0.05,-0.04,0.98,40.26,1.04,-19.48,30.46
81107,0.03,-0.03,0.98,40.66,17.18,-9.88,30.37
81117,0.03,-0.08,1.04,42.26,26.03,-2.82,30.41
81127,0.03,-0.14,1.10,43.50,24.34,-0.87,30.41
81137,0.01,-0.18,1.15,46.29,11.27,-0.15,30.41
81147,0.01,-0.16,1.12,49.15,-3.82,-0.70,30.41
81157,0.10,-0.10,1.05,35.97,-16.40,-4.92,30.46
81167,0.10,-0.11,1.00,34.35,-18.31,-5.08,30.32
81177,0.11,-0.08,0.92,26.50,-11.54,-0.17,30.41
81187,0.14,-0.10,0.94,20.26,-5.86,4.92,30.37
81197,0.15,-0.07,0.95,11.39,1.31,19.01,30.37
81207,0.12,-0.15,1.06,12.14,-27.53,8.60,30.46
81217,0.12,-0.02,1.08,-19.66,-61.69,-12.18,30.46
81227,0.07,-0.18,0.95,-32.27,-23.74,-6.67,30.46
81237,0.18,-0.20,1.01,9.56,-16.61,23.07,30.41
81247,0.25,-0.23,1.00,16.35,3.42,32.84,30.41
81257,0.09,-0.22,1.15,8.49,-23.79,17.94,30.32
81267,0.16,-0.21,1.08,8.43,-32.41,9.60,30.41
81277,0.14,-0.16,1.01,7.51,-27.60,14.38,30.41
81287,0.18,-0.08,1.00,5.07,-15.71,20.44,30.37
81297,0.15,-0.04,1.01,11.62,-13.65,28.44,30.55
81307,0.12,-0.09,1.01,-5.28,1.30,25.95,30.37
81317,0.10,-0.10,1.08,-11.98,-3.60,25.40,30.27
81327,0.10,-0.10,1.11,-15.16,-11.44,25.85,30.37
81337,0.15,-0.10,1.13,-18.56,-13.10,24.87,30.46
